Ligand_Cost_fixed,Base_SMILES,Ligand_SMILES,Solvent_SMILES,Concentration,Temp_C,Yield
22.0,CC(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCCOC(C)=O,0.057,90,0.0
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,CCCC#N,0.153,120,0.0
72.0,CC(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CCCC#N,0.153,120,30.17
1.0,CC(C)(C)C(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.057,90,0.04
36.0,CC(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,Cc1ccc(C)cc1,0.057,105,0.0
72.0,CC(=O)[O-].[K+],c1coc(P(c2ccco2)c2ccco2)c1,CCCC#N,0.1,90,2.55
36.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.057,105,24.03
24.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc(C)cc1,0.057,90,34.98
1.0,CC(C)(C)C(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.057,120,12.19
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.1,105,4.74
102.0,CC(C)(C)C(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.057,120,0.0
24.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.153,120,59.05
1.0,CC(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,0.153,105,30.44
297.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.153,105,22.3
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCCOC(C)=O,0.1,120,1.37
102.0,CC(C)(C)C(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.153,105,0.0
24.0,CC(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.1,105,83.83
144.0,CC(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.057,90,8.45
144.0,CC(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.057,105,41.1
24.0,CC(=O)[O-].[Cs+],CP(C)c1ccccc1,CC(=O)N(C)C,0.153,90,0.0
36.0,CC(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.057,120,16.77
