name,smiles,quantity (g),price (CHF),mw,cost_per_gram,cost_per_mol,type,source
EPhos,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,1,459,534.8,459,245473.2,precatalyst,sigma-aldrich
tBuXPhos,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,1,65.2,424.64,65.2,27686.528,precatalyst,sigma-aldrich
tBuBrettPhos,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,1,548,484.69,548,265610.12,precatalyst,sigma-aldrich
tBuBrettPhos (Preliminary),CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,1,548,484.69,548,265610.12,precatalyst,sigma-aldrich
AlPhos,CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,0.1,135,815.06,1350,1100331,precatalyst,sigma-aldrich
Aniline,C1=CC=C(C=C1)N,510,36.7,93.13,0.07196078431,6.701707843,nucleophile,sigma-aldrich
Benzamide,C1=CC=C(C=C1)C(=O)N,5,32.9,121.14,6.58,797.1012,nucleophile,sigma-aldrich
Phenethylamine,C1=CC=C(C=C1)CCN,240.5,51.7,121.18,0.214968815,26.049921,nucleophile,sigma-aldrich
Morpholine,C1COCCN1,101,36.1,87.12,0.3574257426,31.13893069,nucleophile,sigma-aldrich
BTMG,CC(C)(C)N=C(N(C)C)N(C)C,4.25,182,171.28,42.82352941,7334.814118,base,sigma-aldrich
DBU,C1CCC2=NCCCN2CC1,4,11.2,152.24,2.8,426.272,base,sigma-aldrich
TEA,CCN(CC)CC,72.6,41.6,101.19,0.5730027548,57.98214876,base,sigma-aldrich
Triethylamine,CCN(CC)CC,72.6,41.6,101.19,0.5730027548,57.98214876,base,sigma-aldrich
TMG,CN(C)C(=N)N(C)C,4.59,25.5,115.18,5.555555556,639.8888889,base,sigma-aldrich
MTBD,CN1CCCN2C1=NCCC2,1.067,139,153.22,130.2717901,19960.24367,base,sigma-aldrich
BTTP,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,5.11,159,312.43,31.11545988,9721.403131,base,sigma-aldrich
2-MeTHF,CC1CCCO1,85.4,48.4,86.13,0.5667447307,48.81372365,make-up solvent,sigma-aldrich
DMSO,CS(=O)C,1100,281,78.13,0.2554545455,19.95866364,make-up solvent,sigma-aldrich
