Precatalyst,N-H nucleophile ,N-H nucleophile addition method,N-H nucleophile Inlet Injection (uL),N-H nucleophile concentration (M),N-H nucleophile equivalents,Aryl triflate concentration (M),Precatalyst loading in mol%,Internal Standard Concentration 1-fluoronaphthalene (g/L),Base,Base concentration (M),Base equivalents,Make-Up Solvent ID,Quench Outlet Injection (uL),Temperature (degC),Residence Time Actual (s),Residence Time Actual (min),Reaction Yield,Conversion,right censored performance
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,2.50,2.7,2-MeTHF,15,65,1325,22,62,71,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,1.75,1.9,2-MeTHF,15,65,375,6,1,4,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,2.50,2.7,2-MeTHF,15,100,1296,22,21,26,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TEA,0.96,1.1,2-MeTHF,15,30,595,10,0,2,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,0.99,1.1,2-MeTHF,15,65,1347,22,55,61,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,1.00,1.1,2-MeTHF,15,30,76,1,1,3,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,2.50,2.7,2-MeTHF,15,30,75,1,0,0,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,2.50,2.7,2-MeTHF,15,100,78,1,99,100,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TMG,0.99,1.1,2-MeTHF,15,100,374,6,7,10,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TMG,2.50,2.7,2-MeTHF,15,100,343,6,6,9,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,0.99,1.1,2-MeTHF,15,100,76,1,47,51,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TMG,0.99,1.1,2-MeTHF,15,30,1110,19,1,4,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,1.75,1.9,2-MeTHF,15,30,73,1,23,25,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TEA,2.55,2.8,2-MeTHF,15,30,335,6,1,4,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,1.00,1.1,2-MeTHF,15,100,1301,22,42,47,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TMG,2.50,2.7,2-MeTHF,15,30,1119,19,0,3,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TEA,2.55,2.8,2-MeTHF,15,65,75,1,0,2,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TEA,0.96,1.1,2-MeTHF,15,65,75,1,0,1,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TEA,1.75,1.9,2-MeTHF,15,100,1307,22,1,8,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,2.50,2.7,2-MeTHF,15,100,579,10,43,45,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TEA,2.55,2.8,2-MeTHF,15,100,677,11,5,7,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TMG,2.50,2.7,2-MeTHF,15,100,592,10,8,11,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,2.50,2.7,2-MeTHF,15,100,672,11,73,78,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,2.50,2.7,2-MeTHF,15,30,77,1,1,0,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,2.50,2.7,2-MeTHF,15,30,74,1,12,16,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TMG,2.50,2.7,2-MeTHF,15,30,75,1,0,2,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,TMG,1.49,1.6,2-MeTHF,15,100,1106,18,10,14,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,1.53,1.7,2-MeTHF,15,100,1247,21,44,50,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,1.54,1.7,2-MeTHF,15,100,1247,21,90,97,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,1.52,1.7,2-MeTHF,15,30,1251,21,0,4,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,1.64,1.8,2-MeTHF,15,30,1225,20,27,30,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,2.14,2.4,2-MeTHF,15,100,79,1,78,86,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,DBU,1.41,1.6,2-MeTHF,15,99,1203,20,42,47,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,1.64,1.8,2-MeTHF,15,100,1261,21,96,100,0
EPhos,Aniline,Liquid handler,0,1.20,1.3,0.91,1.03,10,BTMG,2.50,2.8,2-MeTHF,15,100,1225,20,82,93,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,DBU,2.00,2.2,2-MeTHF,19,30,329,5,4,42,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,2.00,2.2,2-MeTHF,19,100,73,1,96,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,1.00,1.1,2-MeTHF,19,48,75,1,3,17,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,2.00,2.2,2-MeTHF,19,100,673,11,77,82,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TEA,1.01,1.1,2-MeTHF,19,30,108,2,7,13,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,DBU,2.00,2.2,2-MeTHF,19,100,1089,18,101,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,DBU,1.00,1.1,2-MeTHF,19,100,1209,20,100,100,0
