name,smiles,quantity (g),price (CHF),mw,cost_per_gram,cost_per_mol,type,source
XPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,1,63.4,476.72,63.4,30224.048,ligand,sigma aldrich
t-BuXPhos,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C,1,65.2,424.64,65.2,27686.528,ligand,sigma aldrich
t-BuBrettPhos,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC,1,548,484.69,548,265610.12,ligand,sigma aldrich
AdBrettPhos,CC(C1=C(C2=C(OC)C=CC(OC)=C2P(C34CC5CC(C4)CC(C5)C3)C67CC8CC(C7)CC(C8)C6)C(C(C)C)=CC(C(C)C)=C1)C,1,1120,640.92,1120,717830.4,ligand,sigma aldrich
5-phenylisoxazole,o1nccc1c2ccccc2,1,81.1,145.16,81.1,11772.476,additive,sigma aldrich
ethyl-3-methylisoxazole-5-carboxylate,CCOC(=O)c1onc(C)c1,1,176.66,155.15,176.66,27408.799,additive,sigma aldrich
ethyl-5-methylisoxazole-3-carboxylate,CCOC(=O)c1cc(C)on1,1,36.76,155.15,36.76,5703.314,additive,fisher scientific
4-phenylisoxazole,o1cc(cn1)c2ccccc2,1,838.68,145.16,838.68,121742.7888,additive,sigma aldrich
3-phenylisoxazole,o1ccc(n1)c2ccccc2,1,364,145.16,364,52838.24,additive,sigma aldrich
3-methylisoxazole,Cc1ccon1,1,483.52,83.09,483.52,40175.6768,additive,sigma aldrich
"5-Phenyl-1,2,4-oxadiazole",c1ccc(-c2ncno2)cc1,1,80.47,192.236,80.47,15469.23092,additive,fisher scientific
5-methylisoxazole,Cc1oncc1,1,101.4,83.09,101.4,8425.326,additive,sigma aldrich
benzo[c]isoxazole,o1cc2ccccc2n1,1,36.1,119.12,36.1,4300.232,additive,sigma aldrich
"3,5-dimethylisoxazole",Cc1onc(C)c1,1,83.6,97.12,83.6,8119.232,additive,sigma aldrich
methyl-isoxazole-5-carboxylate,COC(=O)c1oncc1,5,285.11,127.1,57.022,7247.4962,additive,sigma aldrich
ethyl-isoxazole-3-carboxylate,CCOC(=O)c1ccon1,1,71.46,141.13,71.46,10085.1498,additive,sigma aldrich
ethyl-5-methylisoxazole-4-carboxylate,CCOC(=O)c1cnoc1C,2,33.07,155.153,16.535,2565.454855,additive,fisher scientific
ethyl-isoxazole-4-carboxylate,CCOC(=O)c1conc1,1,238.44,141.13,238.44,33651.0372,additive,sigma aldrich
benzo[d]isoxazole,o1ncc2ccccc12,5.87,136,119.12,23.16865417,2759.850085,additive,sigma aldrich
ethyl-3-methoxyisoxazole-5-carboxylate,CCOC(=O)c1onc(OC)c1,1,138.6,171.15,138.6,23721.39,additive,Chemie Brunschwig AG - fluorochem
3-methyl-5-phenylisoxazole,Cc1cc(on1)c2ccccc2,1,28.2,159.18,28.2,4488.876,additive,Chemie Brunschwig AG - fluorochem
"N,N-dibenzylisoxazol-3-amine",C(N(Cc1ccccc1)c2ccon2)c3ccccc3,1,53.44,264.33,53.44,14125.7952,additive,made-up
methyl-5-(furan-2-yl)isoxazole-3-carboxylate,COC(=O)c1cc(on1)c2occc2,1,126,193.16,126,24338.16,additive,sigma aldrich
